Mã sản phẩm,Mã shop,Tên sản phẩm,Giá,Số lượng,Tên shop,Trạng thái đơn hàng,Giao hàng vào lúc
1180178166,22072740,Dép lê chữ H siêu HOT-Kèm Clip và Ảnh Thật,49000.0,1,Tổng kho giày dép Nguyễn Diệu,,1970-01-01 07:00:00
4029373760,11235296,Váy tay bồng,180000.0,1,KHO BUÔN NHẬT LỆ,,
2810653602,170368383,IMAGIC Bộ 5 cây cọ trang điểm đa năng chuyên nghiệp IMAGIC,34000.0,1,IMAGIC Official Shop,,1970-01-01 07:00:00
2361924938,9870783,Serum B3 Lucenbase 5%-10 % Nicotinanide,125000.0,1,Bảo Anh. Shop,,1970-01-01 07:00:00
2361924938,9870783,Serum B3 Lucenbase 5%-10 % Nicotinanide,125000.0,1,Bảo Anh. Shop,,
4302184058,57057472,Serum Nicotinnamide Của Lucenbase,135000.0,1,Shop nhỏ của Huyền Chi,,
2834410237,57057472,Serum Lucenbase Oligopeptide,118000.0,1,Shop nhỏ của Huyền Chi,,
1974777727,131463086,Mặt nạ đất sét xanh Pháp,150000.0,1,Jesal Cosmetics,,1970-01-01 07:00:00
1327563483,22054870,Tủ nhựa ghép 6 ô,259000.0,1,Khánh Ngọc store 1,,1970-01-01 07:00:00
2628420120,17851350,ÁO THUN DÀI TAY DÂY RÚT EO,79000.0,1,Mood Boutique,,1970-01-01 07:00:00
1797624097,98751183,Áo Sử Tử Dập In 3D Hot Hình Sư Tử Nổi Chất Da Lộn Mền Mịn - QC25,249000.0,1,HiChiFashion,,1970-01-01 07:00:00
1215096691,45562721,FREESHIP ĐƠN 99K_Ấm siêu tốc màu  cách nhiệt đun sôi nước siêu nhanh,99000.0,1,Điện Máy Đỏ,,1970-01-01 07:00:00
1665421255,96504273,Son Missha Water Volume Tint RD04 - Dry Carot,135000.0,1,Hinhy Cosmetics,,1970-01-01 07:00:00
1693542476,78687891,Quần jogger thể thao nam QTT10,109000.0,1,AVIANO,,
445431275,13622119,[về sll] Bộ tập gym PINK/ tập yoga/ đi biển,85000.0,1,loanprocess,,1970-01-01 07:00:00
1179078969,26668418,Bộ đồ tập gym,75000.0,1,xinhlunglinh.vn,,
1114352037,50338745,Đồ tập gym quảng châu loại 1,99000.0,1,namnieshop,,
